,atomic_symbol,compounds_name,fchl_mae,m3gnet_mae
190,H,Trioxsalen,0,0.288168537
191,C,Trioxsalen,4.4,5.016823193
192,N,Trioxsalen,0,
193,O,Trioxsalen,0,12.28798696
194,F,Trioxsalen,0,
195,H,Varenicline,0,0.62928502
196,C,Varenicline,3.4,4.560553466
197,N,Varenicline,0,4.477916727
198,O,Varenicline,0,
199,F,Varenicline,0,
